Date,Strategy_Return,Benchmark_Return,Regime,Strategy_Equity,Benchmark_Equity
2020-03-26,0.0,0.0605438310742465,Crisis,1.0,1.0605438310742465
2020-03-27,0.0,-0.0342678455416263,Crisis,1.0,1.0242012788808696
2020-03-30,0.0,0.0329665905699747,Crisis,1.0,1.0579657031029799
2020-03-31,-0.0161423107884158,-0.0161423107884158,Trend Market,0.9838576892115842,1.0408876919200067
2020-04-01,-0.02257318136639345,-0.0451463627327869,Range Market,0.9616488911542904,0.9938953986164928
2020-04-02,0.01128632852848015,0.0225726570569603,Range Market,0.9725023764689064,1.0163302585999536
2020-04-03,-0.0076264304129721,-0.0152528608259442,Range Market,0.9650856547683163,1.0008283146123327
2020-04-06,0.03398412207241515,0.0679682441448303,Range Market,0.9978832434702994,1.0688528578469627
2020-04-07,-0.0008021695241812,-0.0016043390483624,Range Market,0.9970827719436964,1.067138055470165
2020-04-08,0.0,0.0334893711912846,Crisis,0.9970827719436964,1.1028758379221513
2020-04-09,0.00719173515184965,0.0143834703036993,Range Market,1.0042535271639874,1.118739019785572
2020-04-10,0.0,0.0,Range Market,1.0042535271639874,1.118739019785572
2020-04-13,-0.00507802972233855,-0.0101560594446771,Range Market,0.9991538979042854,1.10737703979755
2020-04-14,0.01505727978615375,0.0301145595723075,Range Market,1.0141984376944564,1.140725211631539
2020-04-15,-0.0111383663361846,-0.0222767326723692,Range Market,1.0029019239578294,1.1153135810393915
2020-04-16,0.0057998378395412,0.0057998378395412,Trend Market,1.0087185924857487,1.121782218949658
2020-04-17,0.01322046601066025,0.0264409320213205,Range Market,1.0220543223520275,1.151443186343632
2020-04-22,0.01133565029106835,0.0226713005821367,Range Market,1.0336399727286851,1.1775479009244818
2020-04-23,-0.00026978383009775,-0.0005395676601955,Range Market,1.0333611133779002,1.1769125341588118
2020-04-24,0.0069110452834196,0.0138220905668392,Range Market,1.0405027188265796,1.1931799257952032
2020-04-27,0.00730343409086795,0.0146068681817359,Range Market,1.0481019618548986,1.2106085476883872
2020-04-28,-0.0026280850952418,-0.0052561701904836,Range Market,1.045347460710654,1.204245383127683
2020-04-29,0.0131183520225365,0.026236704045073,Range Market,1.059060696686121,1.2358408128424496
2020-04-30,-0.0046275716595274,-0.0092551433190548,Range Market,1.0541598174204168,1.2244029290000555
2020-05-01,-0.01423010550738795,-0.0284602110147759,Range Market,1.0391590119968754,1.1895561632736043
2020-05-04,0.0072911620263402,0.0042408225788494,Inflation Shock,1.0467356887244763,1.1946008599096245
2020-05-05,0.0044999675988899,0.0089999351977798,Range Market,1.0514459654083381,1.2053521902360231
2020-05-06,-0.00350194019952125,-0.0070038803990425,Range Market,1.0477638645144502,1.1969100476568861
2020-05-07,0.0057194778774454,0.0114389557548908,Range Market,1.0537565267583273,1.2106014487346175
2020-05-08,0.0083653975326131,0.0167307950652262,Range Market,1.0625716190072463,1.2308557734790624
2020-05-11,6.653468339535e-05,0.0001330693667907,Range Market,1.062642316873502,1.2310195626774498
2020-05-12,-0.0103566828860238,-0.0207133657720476,Range Market,1.0516368673763736,1.2055210042031657
2020-05-13,-0.00880849831214,-0.01761699662428,Range Market,1.0423735258051046,1.18428334474162
2020-05-14,0.0057294589020357,0.0114589178040714,Range Market,1.048345762081775,1.1978539502457448
2020-05-15,0.0019593376018615,0.003918675203723,Range Market,1.0503998253531739,1.2025479508182544
2020-05-18,0.0155076043850367,0.0310152087700734,Range Market,1.0666890102908624,1.2398452265689066
2020-05-19,-0.0052698738557996,-0.0105397477115992,Range Market,1.061067693763262,1.22677757067944
2020-05-20,0.00825699530670785,0.0165139906134157,Range Market,1.0698289247307644,1.2470365639663892
2020-05-21,-0.0039019841549768,-0.0078039683099536,Range Market,1.065654469217929,1.237304730139842
2020-05-22,0.00117547284340615,0.0023509456868123,Range Market,1.066907117106949,1.2402135663584368
2020-05-25,0.0,0.0,Range Market,1.066907117106949,1.2402135663584368
2020-05-26,0.00610714251073025,0.0122142850214605,Range Market,1.0734228709168334,1.255361888345421
2020-05-27,0.0147184474903143,0.0147184474903143,Trend Market,1.0892219890773254,1.273838866380375
2020-05-28,-0.00105506966245975,-0.0021101393249195,Range Market,1.0880727840009659,1.2711508888948149
2020-05-29,0.00240039677615395,0.0048007935523079,Range Market,1.0906845904039026,1.2772534218862317
2020-06-01,0.00187210823918215,0.0037442164783643,Range Market,1.0927264700119468,1.2820357351955054
2020-06-02,0.0040886536411993,0.0081773072823986,Range Market,1.097194250072396,1.2925193353492148
2020-06-03,0.00677833540628195,0.0135566708125639,Range Market,1.1046314007052307,1.310041594497418
2020-06-04,-0.00168719454180445,-0.0033743890836089,Range Market,1.102767672635255,1.3056210044418723
2020-06-05,0.0129370064108179,0.0258740128216358,Range Market,1.1170341850857801,1.3394026590509982
2020-06-08,0.005984828202903,0.011969656405806,Range Market,1.1237194427802881,1.3554348486688617
2020-06-09,-0.00391487170986095,-0.0078297434197219,Range Market,1.119320225323927,1.3448221415816348
2020-06-10,-0.002663627867591,-0.005327255735182,Range Market,1.116338772778996,1.3376579301150944
2020-06-11,-0.03037634649814445,-0.0607526929962889,Range Market,1.082428479407748,1.2563916085527607
2020-06-12,0.0,0.0129762866052117,Crisis,1.082428479407748,1.2726949061537243
2020-06-15,0.0041389304090876,0.0082778608181752,Range Market,1.086908575556831,1.2832300974508655
2020-06-16,0.00939242643335525,0.0187848528667105,Range Market,1.0971172843925316,1.3073353860256145
2020-06-17,-0.0018033981163147,-0.0036067962326294,Range Market,1.095138745148482,1.3026200936805141
2020-06-18,0.00029702170190085,0.0005940434038017,Range Market,1.0954640251223837,1.3033939065548246
2020-06-19,-0.00283275678283685,-0.0056655135656737,Range Market,1.0923608419748645,1.2960095106958218
2020-06-22,0.00323704664832915,0.0064740932966583,Range Market,1.0958968649771452,1.304399997181423
2020-06-23,0.0042981691914837,0.0042981691914837,Trend Market,1.1006072151192334,1.3100065290626797
2020-06-24,-0.0035613970847807,-0.0261952655956623,Liquidity Expansion,1.0966875157918192,1.2756905601018311
2020-06-25,0.0,0.0108998277282181,Crisis,1.0966875157918192,1.2895953674414553
2020-06-26,-0.01226260213741555,-0.0245252042748311,Range Market,1.0832392731165934,1.2579677776230778
2020-06-29,0.00728944405676675,0.0145788881135335,Range Market,1.0911354851980695,1.2763075491034752
2020-06-30,0.00764617471787775,0.0152923494357555,Range Market,1.0994784977587702,1.2958252901318583
2020-07-01,0.00250478198793525,0.0050095639758705,Range Market,1.1022324516960786,1.3023168098243247
2020-07-02,0.00226548523840845,0.0045309704768169,Range Market,1.1047295430446908,1.308217568841101
2020-07-03,0.0,0.0,Range Market,1.1047295430446908,1.308217568841101
2020-07-06,0.0078784654160816,0.0157569308321632,Range Market,1.113433116543692,1.328831062586751
2020-07-07,0.0087399734598779,-0.0108774778696435,Liquidity Expansion,1.1231644924316329,1.3143767321109687
2020-07-08,0.0038984931317151,0.0077969862634302,Range Market,1.1275431414911639,1.3246249094362101
2020-07-09,-0.0056595914761946,-0.0056595914761946,Trend Market,1.1211617079385388,1.31712807358961
2020-07-10,0.0052059048872215,0.010411809774443,Range Market,1.1269983691532617,1.3308417605404037
2020-07-13,-0.0047033226080294,-0.0094066452160588,Range Market,1.1216977322444108,1.318323004260285
2020-07-14,0.00665865029145195,0.0133173005829039,Range Market,1.129166725176141,1.335879507973376
2020-07-15,0.0045205284681775,0.009041056936355,Range Market,1.1342711555026186,1.3479572706650733
2020-07-16,-0.0017059576070576,-0.0034119152141152,Range Market,1.1323361369964229,1.343358154745314
2020-07-17,0.00142228129379175,0.0028445625875835,Range Market,1.1339466375023575,1.3471794210940276
2020-07-20,0.00418589862757015,0.0083717972551403,Range Market,1.1386932231760165,1.358457734073724
2020-07-21,0.00083881466728,0.00167762933456,Range Market,1.1396483757531488,1.360736722618166
2020-07-22,0.0057306305944738,0.0057306305944738,Trend Market,1.1461792796021821,1.3685346021118254
2020-07-23,-0.0061981892061234,-0.0123963784122468,Range Market,1.1390750435630697,1.3515697293137936
2020-07-24,-0.00310482001213805,-0.0062096400242761,Range Market,1.1355384205724879,1.3431769678270467
2020-07-27,0.00368396441074115,0.0073679288214823,Range Market,1.1397217037009062,1.3530734001206508
2020-07-28,-0.0064944354186463,-0.0064944354186463,Trend Market,1.1323198547009912,1.344285952306879
2020-07-29,0.00617589167587125,0.0123517833517425,Range Market,1.1393129394660626,1.3608902811525647
2020-07-30,-0.0018786508817274,-0.0037573017634548,Range Market,1.1371725682077711,1.3557770056993217
2020-07-31,0.0038206181210881,0.0076412362421762,Range Market,1.14151727032867,1.3661368180915805
2020-08-03,0.0,0.0071553626643586,Crisis,1.14151727032867,1.3759120224741586
2020-08-04,0.017745954507515,0.0036054230261335,Inflation Shock,1.1617745838774651,1.3808727673619208
2020-08-05,0.00320458021775895,0.0064091604355179,Range Market,1.165497583726454,1.3897230024689808
2020-08-06,0.0032035630103324,0.0064071260206648,Range Market,1.169231328674312,1.3986271328796163
2020-08-07,0.0003164146349783,0.0006328292699566,Range Market,1.1696012905783797,1.399512225067058
2020-08-10,0.0,0.0027384652733919,Crisis,1.1696012905783797,1.4033447406950916
2020-08-11,-0.0040005277006886,-0.0080010554013772,Range Market,1.1649222682166598,1.392116501677559
2020-08-12,0.00694975114680675,0.0138995022936135,Range Market,1.1730181880861394,1.4114662281856034
2020-08-13,-0.0010246363380783,-0.0020492726761566,Range Market,1.1718162710253996,1.4085737490108647
2020-08-14,-8.59486981395e-05,-0.000171897396279,Range Market,1.1717155549424463,1.408331618850943
2020-08-17,0.0244785297142949,0.0027061775074234,Inflation Shock,1.2003974289708064,1.4121428142008705
2020-08-18,0.0011503702099084,0.0023007404198168,Range Market,1.201778330413145,1.4153917882520561
2020-08-19,-0.004414123345182,-0.004414123345182,Trend Market,1.1964735326291347,1.4091440743169539
2020-08-20,0.0,0.0031536547683461,Crisis,1.1964735326291347,1.4135880282462103
2020-08-21,0.0017175999914862,0.0034351999829724,Range Market,1.198528595558592,1.418443985816772
2020-08-24,0.0,0.0099936153649035,Crisis,1.198528595558592,1.4326193694276852
2020-08-25,0.00179494987277005,0.0035898997455401,Range Market,1.2006798943087011,1.4377623293374495
2020-08-26,0.0050720006724207,0.0101440013448414,Range Market,1.2067697435399969,1.4523469923398111
2020-08-27,0.00083582301590455,0.0016716460318091,Range Market,1.2077783894665448,1.4547748024263658
2020-08-28,0.0033550014247851,0.0067100028495702,Range Market,1.2118304876840298,1.4645363454961295
2020-08-31,-0.0021973751755085,-0.0021973751755085,Trend Market,1.2091676414534684,1.4613182096869064
2020-09-01,0.00374841571035295,0.0074968314207059,Range Market,1.213700104437143,1.472273465956937
2020-09-02,0.00762452507193485,0.0152490501438697,Range Market,1.222953991313234,1.4947242378648034
2020-09-03,-0.0035215203808738,-0.0357575941421853,Liquidity Expansion,1.2186473339079533,1.4412764952127466
2020-09-04,0.0,-0.0081662807542751,Crisis,1.2186473339079533,1.4295066267083016
2020-09-07,0.0,0.0,Range Market,1.2186473339079533,1.4295066267083016
2020-09-08,0.0047188116955228,-0.0281488290864667,Liquidity Expansion,1.2243979011999158,1.389267688995118
2020-09-09,0.0,0.0199447606621803,Crisis,1.2243979011999158,1.4169763005478262
2020-09-10,-0.0177412459253955,-0.0177412459253955,Trend Market,1.20267555692419,1.39183737552935
2020-09-11,0.00026646507904365,0.0005329301580873,Range Market,1.2029960279615297,1.3925791276419226
2020-09-14,0.00633066751251145,0.0126613350250229,Range Market,1.2106117958334262,1.410211038525851
2020-09-15,0.0026028929652498,0.0052057859304996,Range Market,1.2137628887604492,1.4175522953092443
2020-09-16,-0.0023148234460759,-0.0046296468921518,Range Market,1.2109532419675697,1.4109895287308032
2020-09-17,-0.0042239747642762,-0.0084479495285524,Range Market,1.2058382060327804,1.3990695604067693
2020-09-18,-0.00562278847391425,-0.0112455769478285,Range Market,1.1990580328664937,1.3833362160098506
2020-09-21,-0.0264204636054229,-0.0116385640272977,Liquidity Expansion,1.1673783637483546,1.3672361688885402
2020-09-22,0.0,0.0104630163983761,Crisis,1.1673783637483546,1.3815415833440738
2020-09-23,0.0,-0.0240073389143741,Crisis,1.1673783637483546,1.3483744463284317
2020-09-24,0.0,0.002983005554629,Crisis,1.1673783637483546,1.3523966547915491
2020-09-25,0.0079252196120942,0.0158504392241884,Range Market,1.1766300936514675,1.3738327357753184
2020-09-28,0.0079910959269272,0.0159821918538544,Range Market,1.1860326576003457,1.395789594133585
2020-09-29,-0.0048242827044439,-0.0048242827044439,Trend Market,1.1803109007633787,1.3890559105355635
2020-09-30,0.0041099212841898,0.0082198425683796,Range Market,1.1851618856563872,1.4004737314388431
2020-10-01,0.0026394747821475,0.005278949564295,Range Market,1.1882900905663396,1.407866761633229
2020-10-02,-0.0043060893585596,-0.0096238128663708,Liquidity Expansion,1.18317320725247,1.3943177153784874
2020-10-05,0.0064521686243504,0.0178131090029009,Inflation Shock,1.1908072402974765,1.4191548488272003
2020-10-06,-0.0070360321937616,-0.0140720643875232,Range Market,1.182428682218179,1.3991844104186382
2020-10-07,0.0,0.0172471637702415,Crisis,1.182428682218179,1.4233163730898974
2020-10-08,0.0039891064474346,0.0079782128948692,Range Market,1.1871455160980473,1.4346718941311616
2020-10-09,0.0043775475903764,0.0087550951807528,Range Market,1.1923423020914685,1.4472325831174309
2020-10-12,0.0162825301583242,0.0162825301583242,Trend Market,1.2117566515843186,1.47079719129815
2020-10-13,-0.0031634458145816,-0.0063268916291632,Range Market,1.2079233250765726,1.461491616860329
2020-10-14,0.0,-0.0066451720840594,Crisis,1.2079233250765726,1.451779753566882
2020-10-15,-0.0007644617571065,-0.001528923514213,Range Market,1.2069999138890346,1.4495600933641952
2020-10-16,0.0,0.0001349104566304,Crisis,1.2069999138890346,1.449755654178304
2020-10-19,-0.0082323317574713,-0.0164646635149426,Range Market,1.1970634901666608,1.425885915153373
2020-10-20,0.00235809766000055,0.0047161953200011,Range Market,1.199886282781695,1.4326106716332747
2020-10-21,-0.0010990570057851,-0.0021981140115702,Range Market,1.1985675393564583,1.4294616300428327
2020-10-22,0.0052053540034913,0.0052053540034913,Trend Market,1.2048065076959023,1.4369024838616133
2020-10-23,0.0017199191601947,0.0034398383203894,Range Market,1.2068786774928157,1.441845196088263
2020-10-26,0.0003679402784737,-0.018764472985322,Liquidity Expansion,1.2073227367694965,1.4147897308572484
2020-10-27,-0.00151510267522275,-0.0030302053504455,Range Market,1.20549351886116,1.4105026274450494
2020-10-28,-0.0172263692573465,-0.0359255421085777,Liquidity Expansion,1.1847272423679196,1.3598295559085127
2020-10-29,0.0,0.0118765249399974,Crisis,1.1847272423679196,1.375979605543406
2020-10-30,-0.00610185672262995,-0.0122037134452599,Range Market,1.177498206479594,1.3591875447308324
2020-11-02,0.0061214754452958,0.0122429508905916,Range Market,1.1847062328374387,1.3758280110920758
2020-11-03,0.0095291333978263,0.0176427376840778,Inflation Shock,1.195995456567383,1.4001013837901797
2020-11-04,0.0218075256550917,0.0218075256550917,Trend Market,1.2220771581698493,1.4306341306369135
2020-11-05,0.0096366328883506,0.0192732657767012,Range Market,1.2338538671043708,1.4582071224658986
2020-11-06,-0.0002877565853738,-0.0002877565853738,Trend Market,1.2334988175287225,1.45778751376357
2020-11-09,0.0116319747463441,0.0116319747463441,Trend Market,1.2478468446238618,1.4747444613092036
2020-11-10,0.0,-0.0014007752208676,Crisis,1.2478468446238618,1.47267867581069
2020-11-11,0.0038113641814957,0.0076227283629914,Range Market,1.2526028433914536,1.483904505322365
2020-11-12,0.0063750917154761,-0.0100286515470693,Liquidity Expansion,1.2605883014011403,1.4690229441093607
2020-11-13,0.006759273353147,0.013518546706294,Range Market,1.2691089623160898,1.4888819993919205
2020-11-16,0.0115807349228326,0.0115807349228326,Trend Market,1.2838061767968636,1.5061243471582553
2020-11-17,-0.00240172189232375,-0.0048034437846475,Range Market,1.28072283139655,1.4988897635239917
2020-11-18,-0.00581560532374065,-0.0116312106474813,Range Market,1.2732746528800438,1.4814558609470907
2020-11-19,0.00196933784536635,0.0039386756907327,Range Market,1.2757821608415063,1.4872908351334966
2020-11-20,-0.00340786868645925,-0.0068157373729185,Range Market,1.2714344627648313,1.477153851404078
2020-11-23,0.0028100540909248,0.0056201081818496,Range Market,1.2750072623782664,1.4854556158502048
2020-11-24,-0.0181194212772457,0.0160324588140317,Inflation Shock,1.2519048686596868,1.5092711218313952
2020-11-25,-0.0015856747555094,-0.0015856747555094,Trend Market,1.2499197547131538,1.5068779087142878
2020-11-26,0.0,0.0,Range Market,1.2499197547131538,1.5068779087142878
2020-11-27,0.00119705551295055,0.0023941110259011,Range Market,1.251415978046279,1.5104855417302276
2020-11-30,-0.002303070318486,-0.004606140636972,Range Market,1.2485338790511615,1.5035280328949054
2020-12-01,0.00560407033079645,0.0112081406615929,Range Market,1.2555307507197464,1.5203797865762396
2020-12-02,0.0017895645286042,0.0017895645286042,Trend Market,1.2577776040158062,1.5231006043123032
2020-12-03,-0.0003121760401471,-0.0006243520802942,Range Market,1.257384955983999,1.5221496532815035
2020-12-04,0.0087974637151868,0.0087974637151868,Trend Market,1.26844675451029,1.5355407096253317
2020-12-07,0.0140089501443851,-0.0019375134389632,Inflation Shock,1.2862163618550317,1.5325655788643575
2020-12-08,0.0013916355850852,0.0027832711701704,Range Market,1.288006306314308,1.5368311244564061
2020-12-09,-0.00399048247423585,-0.0079809649484717,Range Market,1.2828665397222554,1.5245657291203993
2020-12-10,-0.00064296726388585,-0.0012859345277717,Range Market,1.2820416985332794,1.522605237409466
2020-12-11,-0.0012657980842328,-0.0012657980842328,Trend Market,1.2804188926073694,1.5206779266169104
2020-12-14,-0.00218439412257345,-0.0043687882451469,Range Market,1.277621953103926,1.5140344067664522
2020-12-15,0.0064192410111093,0.0128384820222186,Range Market,1.285823316341984,1.5334723102787435
2020-12-16,0.0008856128101615,0.001771225620323,Range Market,1.286962057942541,1.5361884357227653
2020-12-17,0.0028705714044916,0.0057411428089832,Range Market,1.2906563744247366,1.5450079129137584
2020-12-18,-0.00175864847607435,-0.0035172969521487,Range Market,1.2883865635587188,1.539573661290621
2020-12-21,0.0,-0.0039139284869094,Crisis,1.2883865635587188,1.5335478800800002
2020-12-22,-0.00103762234588515,-0.0020752446917703,Range Market,1.287049704870232,1.5303653929822885
2020-12-23,0.0,0.0007455332718186,Crisis,1.287049704870232,1.5315063313007966
2020-12-24,0.00176517498974345,0.0035303499794869,Range Market,1.2893215728198255,1.5369130846460886
2020-12-25,0.0,0.0,Range Market,1.2893215728198255,1.5369130846460886
2020-12-28,0.00434235376920575,0.0086847075384115,Range Market,1.294920263211278,1.5502607252981977
2020-12-29,-0.0011149324136393,-0.0022298648272786,Range Market,1.2934765146367455,1.5468038534337438
2020-12-30,0.0006703240475396,0.0013406480950792,Range Market,1.2943435630494342,1.548877573073311
2020-12-31,0.0064182047117037,0.0064182047117037,Trend Market,1.3026509250043614,1.5588185864106623
2021-01-01,0.0,0.0,Crisis,1.3026509250043614,1.5588185864106623
2021-01-04,-0.00743238135601285,-0.0148647627120257,Range Market,1.2929691265559662,1.5356471180125724
2021-01-05,0.0041053068384807,0.007057631383362,Inflation Shock,1.2982771615531608,1.546485149306427
2021-01-06,0.005693603382474,0.005693603382474,Trend Market,1.3056690367915684,1.555290222383464
2021-01-07,0.00736913005387645,0.0147382601077529,Range Market,1.3152906817310053,1.5782124942239961
2021-01-08,0.0,0.0054768373935153,Crisis,1.3152906817310053,1.5868561074272751
2021-01-11,0.0,-0.0065763276166213,Crisis,1.3152906817310053,1.576420421784397
2021-01-12,0.00020785101528475,0.0004157020305695,Range Market,1.3155640662345975,1.577075742954764
2021-01-13,0.0022730563867261,0.0022730563867261,Trend Market,1.3185544175374995,1.5806605250446382
2021-01-14,-0.00188025653437155,-0.0037605130687431,Range Market,1.3160751969780002,1.5747164304829615
2021-01-15,-0.00360800039913925,-0.0072160007982785,Range Market,1.3113267971420064,1.5633532754635342
2021-01-18,0.0,0.0,Crisis,1.3113267971420064,1.5633532754635342
2021-01-19,0.0040517288178808,0.0081034576357616,Range Market,1.316639937715646,1.5760218425009822
2021-01-20,0.0069197086882554,0.0138394173765108,Range Market,1.3257507025319608,1.597833066573851
2021-01-21,0.00015833658065675,0.0003166731613135,Range Market,1.3259606173650031,1.5983390574222942
2021-01-22,-0.00150757633146885,-0.0030151526629377,Range Market,1.3239616305218038,1.59351982115703
2021-01-25,0.0018046587565087,0.0036093175130174,Range Market,1.3263509294716065,1.5992713401548726
2021-01-26,-0.00074497158057675,-0.0014899431611535,Range Market,1.3253628357232785,1.59688851675878
2021-01-27,-0.01300665756305015,-0.0260133151261003,Range Market,1.3081242951722327,1.555348152551083
2021-01-28,0.0,0.0097132987787603,Crisis,1.3081242951722327,1.5704557138618045
2021-01-29,-0.009750188827396,-0.019500377654792,Range Market,1.2953698362845991,1.5398312343513734
2021-02-01,0.0079621501173393,0.0159243002346786,Range Market,1.3056837653785702,1.5643519692379202
2021-02-02,0.0,0.0138025288143106,Crisis,1.3056837653785702,1.5859439823690502
2021-02-03,0.00050413030767235,0.0010082606153447,Range Market,1.3063420001369332,1.587543027224616
2021-02-04,0.00539742382196095,0.0107948476439219,Range Market,1.3133928815681004,1.6046803123316764
2021-02-05,0.0,0.0038899196077638,Crisis,1.3133928815681004,1.6109223897428078
2021-02-08,0.007372107476289,0.007372107476289,Trend Market,1.3230753550496133,1.622798282735952
2021-02-09,-0.00055707271086055,-0.0011141454217211,Range Market,1.322338305874903,1.6209902494588648
2021-02-10,-0.0003452445223915,-0.0003452445223915,Trend Market,1.3218817758180512,1.6204306114543892
2021-02-11,0.00083053740729385,0.0016610748145877,Range Market,1.3229796480808882,1.623122267931863
2021-02-12,0.0023499854630813,0.0046999709261626,Range Market,1.3260886310218307,1.63075089540075
2021-02-15,0.0,0.0,Range Market,1.3260886310218307,1.63075089540075
2021-02-16,-0.0002847172577077,-0.0005694345154154,Range Market,1.3257110707033288,1.6298222895548642
2021-02-17,0.0,-0.0003204533489169,Crisis,1.3257110707033288,1.629300007544037
2021-02-18,-0.00221280711362165,-0.0044256142272433,Range Market,1.3227775278154696,1.6220893542502024
2021-02-19,-0.00092830954783245,-0.0018566190956649,Range Market,1.3215495808067403,1.6190777521802266
2021-02-22,-0.0077628928937108,-0.0077628928937108,Trend Market,1.3112905329572093,1.6065090250034615
2021-02-23,0.00062776480576325,0.0012555296115265,Range Market,1.3121137150039306,1.6085260446555378
2021-02-24,-0.0044434642604026,0.0112876676709859,Liquidity Expansion,1.3062833846057265,1.626682552087735
2021-02-25,-0.0123916972120859,-0.0247833944241718,Range Market,1.2900963164305135,1.5863678367964265
2021-02-26,0.0,-0.0047615322937987,Crisis,1.2900963164305135,1.5788142951116766
2021-03-01,0.0,0.0235121732256935,Crisis,1.2900963164305135,1.6159356503095437
2021-03-02,-0.00405683936975435,-0.0081136787395087,Range Market,1.284862602903243,1.602824467579213
2021-03-03,-0.00657616794740055,-0.0131523358948011,Range Market,1.276413130637217,1.5817435818012053
2021-03-04,0.0,-0.0135080380643904,Crisis,1.276413130637217,1.5603773292901295
2021-03-05,0.0,0.0193083563387091,Crisis,1.276413130637217,1.5905056507869066
